time_step,topology,seed,load_scale,method,scenario,failed_link,commodity_rank,source,destination,disrupted_amount,demand_value,commodity_disruption_ratio
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,4.246048,4.2460479736328125,1.0000000062098187
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,2,4,3.6976609,3.6976609230041504,0.9999999937787291
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,5,0,3.4483714,3.448371410369873,0.9999999969928202
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,0 -> 1 & 1 -> 0,1,0,1,3.411118,3.4111180305480957,0.9999999910445504
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,0 -> 1 & 1 -> 0,2,3,0,2.7631766,4.329375743865967,0.6382390357120145
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,0 -> 1 & 1 -> 0,3,1,0,2.2296135,2.2296135425567627,0.9999999809129422
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,0 -> 1 & 1 -> 0,4,0,2,0.85535668,3.660048246383667,0.23370093026646313
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,0 -> 1 & 1 -> 0,5,0,3,0.62499418,2.6902685165405273,0.2323166539538191
24,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,3,2,4.553691,4.553690983648857,1.0000000035907448
24,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,4.1332196,4.133219632238768,0.9999999922000835
24,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,0,5,3.9470074,4.97889788027938,0.7927472093037832
24,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,1,3.665299,3.6652990100292726,0.9999999972637232
24,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,2,5,3.5150625,3.515062492858754,1.0000000020316127
24,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,1,1,3,4.1249751,4.124975073190497,1.0000000064993126
24,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,2,3,0,3.7500207,4.626783223565196,0.8105027875307281
24,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,3,1,5,3.4523345,3.45233449751552,1.0000000007196521
24,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,4,5,1,3.2692436,3.2692436323520186,0.9999999901041273
24,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,5,4,1,1.5899358,3.422194764209114,0.4645953575256088
24,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,0,5,4.9788979,4.97889788027938,1.0000000039608403
24,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,3,2,4.553691,4.553690983648857,1.0000000035907448
24,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,4,4.2780109,4.278010878054411,1.0000000051298583
24,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,2,3,4.1332196,4.133219632238768,0.9999999922000835
24,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,5,0,3.7995704,3.7995703783970813,1.0000000056856213
24,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,1,1,3,4.1249751,4.124975073190497,1.0000000064993126
24,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,2,3,0,3.7500207,4.626783223565196,0.8105027875307281
24,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,3,3,1,3.665299,3.6652990100292726,0.9999999972637232
24,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,4,1,5,3.4523345,3.45233449751552,1.0000000007196521
24,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,1 -> 3 & 3 -> 1,5,5,1,1.1938804,3.2692436323520186,0.36518550902279406
24,sample_backbone,11,0.8,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,1,3,2,4.04311,4.043109971476904,1.0000000070547417
