method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,load_scale,seed
robust_current_demand_lp,0.3939826040601751,0.516422628366803,0.9279262993995727,1.2661296487905982,1.0227425926153848,0.7625055891264034,0.8301513955853947,0.23749441087359663,0.16984860441460528,0.7550897023259941,0.8323285071555356,,,,0.9279262953846155,1.7230939307692308,nsfnet,0.8,7
current_demand_lp,0.3939826040601751,0.516422628366803,0.9279262998290598,1.2661296487905982,1.0227425926153848,0.7496975624087564,0.8253429519132237,0.2503024375912436,0.1746570480867763,0.7432293455011141,0.827222761975157,,,,,,nsfnet,0.8,7
moving_average,0.6810836373348998,0.781943941114095,0.9413117213333333,1.2883124553063676,1.0242613315811966,0.7506234452946382,0.825554644840021,0.2493765547053618,0.17444535515997903,0.7456487909474678,0.8267487272447134,,,,,,nsfnet,0.8,7
lstm,0.7079268410101434,0.8045117754123716,0.8143383774358974,1.1592988241538458,0.8454941169871795,0.7405633061983367,0.8273132677246302,0.2594366938016633,0.1726867322753698,0.7358172984714902,0.8265951129239445,,,,,,nsfnet,0.8,11
uncertainty_aware_lstm_robust_lp,0.7079268410101434,0.8045117754123716,0.8552302083076923,1.2166828053846155,0.8876952782478633,0.767054013451398,0.8333680742328119,0.2329459865486019,0.1666319257671882,0.7615560393069001,0.8318352467657958,0.5559255480766296,0.9183499217033386,1.0499002504195394,0.8552302092307692,1.6611395,nsfnet,0.8,11
linear_autoregressive,0.3529696347051185,0.443857306878549,0.8726560645384616,1.2308565204564101,0.9758617807743589,0.7426886734964573,0.826475242563546,0.25731132650354277,0.17352475743645396,0.7380576145535441,0.8265335792414296,,,,,,nsfnet,0.8,11
robust_current_demand_lp,0.38692133469084405,0.510101208063574,0.8737881669901709,1.2470902223247862,0.9813554747435898,0.7687441745382151,0.8334565987663735,0.2312558254617849,0.1665434012336266,0.7617644838356031,0.8299410100755722,,,,0.8737881538461539,1.7014536692307693,nsfnet,0.8,11
current_demand_lp,0.38692133469084405,0.510101208063574,0.87378816733547,1.2470902223247862,0.9813554747435898,0.7461550030006348,0.8289120894766632,0.2538449969993652,0.1710879105233369,0.7422112214540952,0.8274973135382063,,,,,,nsfnet,0.8,11
moving_average,0.6589880565179471,0.7608850005838312,0.8894821201794871,1.2668409244786325,0.9866996918888888,0.7433805420204339,0.8278563755379047,0.2566194579795661,0.17214362446209527,0.7392285860716464,0.827206819548026,,,,,,nsfnet,0.8,11
lstm,0.9077538713720125,1.00904011859863,1.0772688333333336,1.4753871256666666,1.1014765053418802,0.7511123959007772,0.8247895871736062,0.24888760409922284,0.17521041282639382,0.7449021777409738,0.824711608998403,,,,,,nsfnet,1.0,7
uncertainty_aware_lstm_robust_lp,0.9077538713720125,1.00904011859863,1.1298345840000001,1.5469153356666667,1.154868378076923,0.761738028381179,0.829883696418062,0.23826197161882104,0.170116303581938,0.7557192178493393,0.8311303939235967,0.6994447708129883,1.1199312210083008,1.0485026358631409,1.1298346,2.0991374,nsfnet,1.0,7
linear_autoregressive,0.46807667856856755,0.5702570888482369,1.1320063499649573,1.5500524362064103,1.2494036464529914,0.750520218148288,0.8251182706453513,0.2494797818517121,0.1748817293546488,0.7464308243067335,0.825605076550311,,,,,,nsfnet,1.0,7
current_demand_lp,0.45317969807735164,0.588977510287038,1.1588839133162394,1.5818307889948717,1.2760194572820514,0.7506386288492964,0.8253923689665178,0.24936137115070361,0.17460763103348226,0.744614378911713,0.8271882342803697,,,,,,nsfnet,1.0,7
robust_current_demand_lp,0.45317969807735164,0.588977510287038,1.1588839133589743,1.5818307889948717,1.2760194572820514,0.7625226489221194,0.8301252120654977,0.23747735107788065,0.1698747879345023,0.754829080772119,0.8321828532839789,,,,1.1588839023076924,2.1505148384615387,nsfnet,1.0,7
moving_average,0.8403582648693608,0.9506094855915296,1.1764245185991453,1.6096932142435896,1.27954659282906,0.7507371306256688,0.82541856139138,0.2492628693743312,0.1745814386086199,0.7456389721030002,0.8264899527003742,,,,,,nsfnet,1.0,7
lstm,0.8781001001304024,0.9834945638241338,1.0156591733333333,1.4442193639999998,1.0537741517401709,0.7402325666037368,0.8272746775103493,0.2597674333962633,0.1727253224896506,0.7351234728334938,0.8264877376551929,,,,,,nsfnet,1.0,11
uncertainty_aware_lstm_robust_lp,0.8781001001304024,0.9834945638241338,1.0653650223333335,1.5139179851777778,1.1050629860854702,0.7680464130994914,0.8330753493157808,0.23195358690050843,0.16692465068421924,0.7617745133411462,0.8311970019339184,0.6747301816940308,1.121665358543396,1.0485930297549477,1.065365,2.0696419,nsfnet,1.0,11
linear_autoregressive,0.4112833602314894,0.5103748530256531,1.0896420848786326,1.538248977727778,1.2177642576068375,0.7425668262970423,0.8271161194042853,0.25743317370295765,0.17288388059571466,0.7381397565697078,0.8273842906974924,,,,,,nsfnet,1.0,11
robust_current_demand_lp,0.4417701581022181,0.5781362915959939,1.092128738923077,1.5572736494811965,1.2252970682564102,0.7689885709138573,0.8334389550756087,0.23101142908614267,0.1665610449243913,0.7619504697547885,0.8300836562846824,,,,1.0921287246153846,2.1273938384615385,nsfnet,1.0,11
current_demand_lp,0.4417701581022181,0.5781362915959939,1.0921287391068377,1.5572736494811965,1.2252970682564102,0.7450637480749209,0.8280040987767847,0.25493625192507907,0.17199590122321523,0.7410816411689759,0.8269038334507826,,,,,,nsfnet,1.0,11
moving_average,0.8123257682503191,0.9231121738357858,1.112236822488889,1.5826063840470086,1.23274048732906,0.7437290364105892,0.8277997785560406,0.25627096358941076,0.17220022144395936,0.739642921980695,0.8272526690373423,,,,,,nsfnet,1.0,11
lstm,1.08677129653136,1.198189621218355,1.2872076808333333,1.763931186794872,1.3161245698547008,0.75110039354499,0.8248247738028799,0.24889960645501014,0.17517522619712003,0.7451179409548778,0.824878890122656,,,,,,nsfnet,1.2,7
uncertainty_aware_lstm_robust_lp,1.08677129653136,1.198189621218355,1.3492155019999998,1.8484240092307695,1.379148938128205,0.761763175071333,0.8298963551182481,0.23823682492866693,0.17010364488175186,0.7554130869018267,0.8310797346227805,0.8257419466972351,1.3644160032272339,1.0479008092661444,1.3492155,2.5063145,nsfnet,1.2,7
linear_autoregressive,0.5484819271630073,0.6586063660224032,1.3580732837051281,1.8590606309415385,1.498085178957265,0.7505587543139622,0.8251238879998726,0.24944124568603773,0.17487611200012745,0.7460988957373705,0.8256121392303387,,,,,,nsfnet,1.2,7
robust_current_demand_lp,0.5169348581323667,0.6663524446605038,1.3898415268589743,1.8975319282735046,1.5292963218034186,0.7624383390623399,0.830125159239431,0.23756166093766007,0.16987484076056905,0.7545822591062374,0.8320999180528109,,,,1.389841516923077,2.5779357615384617,nsfnet,1.2,7
