time_step,topology,seed,load_scale,method,scenario,failed_link,commodity_rank,source,destination,path_rank,path_flow,path_nodes,path_edges,contains_failed_link
23,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,3,1,4.0540674,0 | 2 | 3,0->2 | 2->3,1
23,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,1,0,1,1,6.3153411,0 | 1,0->1,1
23,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,2,1,0,1,2.8354642,1 | 0,1->0,1
23,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,3,0,5,1,2.6799198,0 | 1 | 3 | 5,0->1 | 1->3 | 3->5,1
23,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,3,0,5,2,0.8381543000000002,0 | 2 | 3 | 5,0->2 | 2->3 | 3->5,0
23,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,3,0,5,3,2.2921247,0 | 2 | 3 | 4 | 5,0->2 | 2->3 | 3->4 | 4->5,0
23,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,4,3,0,1,0.83544814,3 | 1 | 0,3->1 | 1->0,1
23,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,4,3,0,2,4.889873,3 | 2 | 0,3->2 | 2->0,0
23,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,5,0,4,1,3.460203,0 | 2 | 4,0->2 | 2->4,0
23,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,5,0,4,2,0.45732130000000026,0 | 1 | 2 | 4,0->1 | 1->2 | 2->4,1
23,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,0,5,1,5.8101988,0 | 2 | 3 | 5,0->2 | 2->3 | 3->5,1
23,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,4,1,1.5140271,2 | 4,2->4,0
23,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,4,2,5.2639987,2 | 3 | 4,2->3 | 3->4,1
23,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,1,5.2075556,2 | 3,2->3,1
23,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,5,0,1,5.0157938,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
23,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,3,0,1,1.800486,3 | 1 | 0,3->1 | 1->0,0
23,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,3,0,2,3.9248352,3 | 2 | 0,3->2 | 2->0,1
23,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,1,0,1,1,6.3153411,0 | 1,0->1,1
23,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,2,1,0,1,2.8354642,1 | 0,1->0,1
23,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,3,0,3,1,2.6799198,0 | 1 | 3,0->1 | 1->3,1
23,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,3,0,3,2,1.3741476,0 | 2 | 3,0->2 | 2->3,0
23,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,4,3,0,1,1.800486,3 | 1 | 0,3->1 | 1->0,1
23,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,4,3,0,2,3.9248352,3 | 2 | 0,3->2 | 2->0,0
23,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,5,0,2,1,5.4932828,0 | 2,0->2,0
23,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,5,0,2,2,0.45732136,0 | 1 | 2,0->1 | 1->2,1
23,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,1,6.3444411,2 | 3 | 5,2->3 | 3->5,1
23,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,2,3,0,1,0.11214371,3 | 1 | 0,3->1 | 1->0,0
23,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,2,3,0,2,4.9818333,3 | 2 | 0,3->2 | 2->0,1
23,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,1,4.9192711,2 | 3,2->3,1
23,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,4,5,0,1,4.5636879,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
23,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,3,1,4.0872237,0 | 2 | 3,0->2 | 2->3,1
23,sample_backbone,7,1.2,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,1,0,1,1,6.0886369,0 | 1,0->1,1
23,sample_backbone,7,1.2,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,2,0,5,1,2.9846593,0 | 1 | 3 | 5,0->1 | 1->3 | 3->5,1
23,sample_backbone,7,1.2,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,2,0,5,2,0.18074030000000008,0 | 2 | 3 | 5,0->2 | 2->3 | 3->5,0
23,sample_backbone,7,1.2,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,2,0,5,3,2.6941269,0 | 2 | 3 | 4 | 5,0->2 | 2->3 | 3->4 | 4->5,0
23,sample_backbone,7,1.2,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,3,1,0,1,2.8149018,1 | 0,1->0,1
23,sample_backbone,7,1.2,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,4,3,0,1,0.11214371,3 | 1 | 0,3->1 | 1->0,1
23,sample_backbone,7,1.2,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,4,3,0,2,4.9818333,3 | 2 | 0,3->2 | 2->0,0
23,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,1,7.397503,2 | 3 | 5,2->3 | 3->5,1
23,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,1,5.7490135,2 | 3,2->3,1
23,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,3,3,0,1,0.47838013,3 | 1 | 0,3->1 | 1->0,0
23,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,3,3,0,2,5.3751226,3 | 2 | 0,3->2 | 2->0,1
23,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,4,5,0,1,5.2111215,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
23,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,3,1,4.8952258,0 | 2 | 3,0->2 | 2->3,1
23,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,1,0,1,1,7.0673482,0 | 1,0->1,1
23,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,2,0,5,1,3.5371912,0 | 1 | 3 | 5,0->1 | 1->3 | 3->5,1
23,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,2,0,5,2,0.09998459999999998,0 | 1 | 3 | 4 | 5,0->1 | 1->3 | 3->4 | 4->5,1
23,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,2,0,5,3,3.0985754,0 | 2 | 3 | 4 | 5,0->2 | 2->3 | 3->4 | 4->5,0
23,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,3,1,0,1,3.0021444,1 | 0,1->0,1
23,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,4,3,0,1,0.47838013,3 | 1 | 0,3->1 | 1->0,1
23,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,4,3,0,2,5.3751226,3 | 2 | 0,3->2 | 2->0,0
23,sample_backbone,7,1.2,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,1,6.0437021,2 | 3 | 5,2->3 | 3->5,1
