ablation_family,ablation_variant,topology,load_scale,method,method_profile,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae_mean,prediction_rmse_mean,nominal_max_utilization_mean,nominal_max_utilization_std,critical_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean,random_failure_fixed_disrupted_fraction_mean,random_failure_fixed_fairness_mean,robust_worst_case_utilization_mean
transformer,base,abilene,1.0,moving_average,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.8287069714098717,0.959357275435499,1.0364154040101425,0.01120458026676444,2.4615362713390314,0.3181412789168464,0.6876026542348311,0.16305936163983212,0.8381839935079035,
transformer,base,abilene,1.0,transformer,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.886758450842012,1.0001728498011042,0.9730209362381766,0.022754649879530384,2.1778293097293444,0.32008528526733765,0.685779918888305,0.16338835722216077,0.8381000081287581,
transformer,base,nsfnet,1.0,linear_autoregressive,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.42899220170099966,0.5290219384663492,1.1105328008452993,0.021188145504957845,1.5635064727558408,0.2499850942128363,0.7493778537148984,0.17462437269696082,0.8263108813879317,
transformer,base,nsfnet,1.0,lstm,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.9011400850084726,1.0034734963590057,1.0527358994957265,0.03266416378455822,1.487630115131054,0.2510640720124477,0.7475269530878306,0.1747120942836505,0.8257882367804467,
transformer,base,nsfnet,1.0,moving_average,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.8341326549406275,0.9439601412441562,1.151837225579852,0.03462744848387902,1.6242254475356124,0.2507128695680008,0.7486457648689665,0.17450740718852478,0.8267865247798826,
transformer,base,nsfnet,1.0,transformer,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.890800129806753,0.9940116538798588,1.0921339599807807,0.0683527326614562,1.5424218096371796,0.249899474158624,0.7495185477744976,0.17486136154732831,0.8257894401142001,
transformer,tuned_a,abilene,1.0,linear_autoregressive,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.43883133640328936,0.5529492893129232,0.9851369197800571,0.016925288011459177,2.369110688846154,0.3178966324926496,0.687451217158409,0.1640819581192786,0.8375435941299211,
transformer,tuned_a,abilene,1.0,lstm,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.9345564991795228,1.0496515098917205,0.8926137901982907,0.005927157747867275,1.8768390862820512,0.3203442819278763,0.686135783529865,0.162380684307917,0.838803611853657,
transformer,tuned_a,abilene,1.0,moving_average,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.989536299371963,1.1194995800530105,1.0502628338974358,0.011528090463333565,2.4799346888888887,0.31871719369441115,0.6872526002302278,0.16305682513455344,0.8381640171043193,
transformer,tuned_a,abilene,1.0,transformer,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.5336032076296428,0.6349451744456021,0.9023890906233619,0.004360531237121014,2.094232978732194,0.3188429041360352,0.6871598570674045,0.16323249171113394,0.8380430560380305,
transformer,tuned_a,nsfnet,1.0,linear_autoregressive,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.42899220170099966,0.5290219384663492,1.1105328008452993,0.021188145504957845,1.5635064727558408,0.2499850942128363,0.7493778537148984,0.17462437269696082,0.8263108813879317,
transformer,tuned_a,nsfnet,1.0,lstm,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.9489347368969421,1.0546658241964375,0.982561050998718,0.029142674184753675,1.3884269030598293,0.2528349526059038,0.7453479038315182,0.17484855234114252,0.8253609212690574,
transformer,tuned_a,nsfnet,1.0,moving_average,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.9980176522383929,1.1103787718639493,1.1650298837339033,0.03533968703856439,1.6429125834844729,0.2506585192563447,0.7484401725741749,0.17467135527248392,0.8262737354841402,
transformer,tuned_a,nsfnet,1.0,transformer,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.7134886016697853,0.812103108613079,1.031841563420399,0.04547151182534298,1.4590246265858688,0.2516133700310499,0.7481323183151182,0.17495136626669971,0.8257587204230973,
transformer,tuned_b,abilene,1.0,linear_autoregressive,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.43883133640328936,0.5529492893129232,0.9851369197800571,0.016925288011459177,2.369110688846154,0.3178966324926496,0.687451217158409,0.1640819581192786,0.8375435941299211,
transformer,tuned_b,abilene,1.0,lstm,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.9232094060994059,1.0389692608891208,0.908152502434188,0.005458731300096845,2.103711051866097,0.3178860820217204,0.6893593026141714,0.16332887909317567,0.8378257195060753,
transformer,tuned_b,abilene,1.0,moving_average,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,1.0407301912598745,1.166586613568467,1.055979386625755,0.011332737994622184,2.5240295518233617,0.31846629151963735,0.6877997109999496,0.1630069154313698,0.8382860309629553,
transformer,tuned_b,abilene,1.0,transformer,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.5683989342760806,0.6724171912222877,0.9064201680934474,0.019845523459346908,2.1202405463390313,0.3182816026002402,0.689295601664052,0.1634691114637718,0.8382955483008508,
transformer,tuned_b,nsfnet,1.0,linear_autoregressive,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.42899220170099966,0.5290219384663492,1.1105328008452993,0.021188145504957845,1.5635064727558408,0.2499850942128363,0.7493778537148984,0.17462437269696082,0.8263108813879317,
transformer,tuned_b,nsfnet,1.0,lstm,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.9476772616854744,1.0542142335535265,0.9833738781082623,0.02867176186651545,1.3903993196780629,0.25268220643674005,0.7457423697742268,0.17484261508990181,0.8254304490840028,
