method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,load_scale,seed
uncertainty_aware_lstm_robust_lp,1.1138633276993437,1.2414836608592164,1.1335044287179488,2.479154875,1.4819571136615386,0.6812063095042059,0.8371556427527603,0.3187936904957942,0.16284435724723972,0.6954397055944193,0.8384430671826482,0.7254411578178406,1.8044971227645874,1.0450980195685275,1.1335044,3.0226785,abilene,1.2,7
linear_autoregressive,0.5099596231759371,0.6327304314095354,1.1949448461504273,2.9709696452564103,1.584058404068376,0.6829726547909734,0.8367059250746709,0.3170273452090266,0.16329407492532905,0.6894861476267804,0.8366802613376592,,,,,,abilene,1.2,7
robust_current_demand_lp,0.5068276313474185,0.6913479808730406,1.2233810676581196,3.106280626623932,1.6149575542713674,0.6813609415210021,0.8352784843748607,0.3186390584789978,0.16472151562513926,0.6886328114269524,0.8353464010914669,,,,1.2233810684615385,3.2623495153846154,abilene,1.2,7
current_demand_lp,0.5068276313474185,0.6913479808730406,1.2233810684786326,3.1549008597008545,1.6149575542713674,0.682651928826913,0.8357351859310561,0.317348071173087,0.164264814068944,0.6890078993491263,0.835922755527273,,,,,,abilene,1.2,7
moving_average,1.2489652472767991,1.3887994849300418,1.2691704725470088,3.182701122649573,1.6718538966239318,0.6827834262021617,0.835838689433079,0.31721657379783824,0.16416131056692101,0.6894622118319262,0.836175233035038,,,,,,abilene,1.2,7
lstm,1.0588935754533835,1.1930996123478612,1.0905260255076923,2.2068810405128207,1.3888086951794871,0.6687895997579744,0.8357051928361177,0.3312104002420255,0.1642948071638823,0.681794004888258,0.8387917682929957,,,,,,abilene,1.2,11
transformer,0.5847754219725407,0.7013904451446055,1.107325115596581,2.9028914975213675,1.4158755723811964,0.675040220500138,0.8329759446262178,0.32495977949986204,0.16702405537378218,0.6907739395508264,0.8368249330557416,,,,,,abilene,1.2,11
uncertainty_aware_lstm_robust_lp,1.0588935754533835,1.1930996123478612,1.1429328936752137,3.0478210476923078,1.455574863025641,0.6711041817029967,0.8321083920232244,0.3288958182970033,0.16789160797677558,0.6905426605731063,0.8369500356193799,0.7043240070343018,1.6701056957244873,1.0456119462072013,1.1429329,3.0478211,abilene,1.2,11
linear_autoregressive,0.5221413225325291,0.6583935798058883,1.1918380103863249,2.9693622955982906,1.5294506466068376,0.6746405400359782,0.8328134510805218,0.32535945996402177,0.16718654891947823,0.6886826535982375,0.8375805143678703,,,,,,abilene,1.2,11
robust_current_demand_lp,0.49946110045367004,0.6928736415705803,1.2316128255521368,3.198529397777778,1.589539619365812,0.6696780255616681,0.8306076868859166,0.33032197443833183,0.16939231311408345,0.6906488043662394,0.835557264085982,,,,1.2316128323076923,3.284300869230769,abilene,1.2,11
current_demand_lp,0.49946110045367004,0.6928736415705803,1.2316128259008547,3.1313730368376067,1.589539619365812,0.6751251824308593,0.8341425288459554,0.3248748175691407,0.1658574711540446,0.6903236245412772,0.8381811667155648,,,,,,abilene,1.2,11
moving_average,1.185349294518141,1.3348501393970453,1.278333269820855,3.224651893547008,1.6408338266666669,0.6742823782760007,0.8335885347722758,0.3257176217239992,0.16641146522772418,0.6895223078900645,0.8372710060793913,,,,,,abilene,1.2,11
transformer,0.5400361713757318,0.6256717732362033,0.7859501411854701,1.0806853521773503,0.8319792290444444,0.7496016881415468,0.8246826595141954,0.2503983118584532,0.17531734048580463,0.7454539563896255,0.8251297763701942,,,,,,nsfnet,0.8,7
lstm,0.767607841006843,0.8632546147874179,0.8045769402222221,1.1054490603333336,0.8236574356965812,0.7507350242355394,0.8248209448868589,0.24926497576446066,0.1751790551131411,0.7457135266378445,0.824917395074415,,,,,,nsfnet,0.8,7
uncertainty_aware_lstm_robust_lp,0.767607841006843,0.8632546147874179,0.8432363033333333,1.1581884111111111,0.8629939343760683,0.7609141987752108,0.8298479680524421,0.2390858012247892,0.17015203194755796,0.7547168655039912,0.8310051655908223,0.5155062675476074,0.8854181170463562,1.0477646713085977,0.8432363000000002,1.5675794,nsfnet,0.8,7
